model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_4_AutoML_10_20230223_153200,0.9999341912327144,0.0091828998138087,0.9999418197335904,0.0025185084398996,0.0485155572756949,0.0023537592977712
StackedEnsemble_AllModels_1_AutoML_10_20230223_153200,0.9999313071636108,0.0088434704357729,0.9999387825200938,0.0027314783046637,0.047522144280461,0.0022583541970129
GBM_3_AutoML_10_20230223_153200,0.9999224587611226,0.0094344055323165,0.9999310082425472,0.0027446135717719,0.0497897240434983,0.0024790166203277
GBM_2_AutoML_10_20230223_153200,0.999920045560444,0.0098647526229351,0.999929089775187,0.0029791256669838,0.0506218952578964,0.0025625762795014
GBM_1_AutoML_10_20230223_153200,0.9999085338084264,0.0102229639263947,0.9999179354042526,0.0034164496216645,0.051671869498337,0.0026699820974531
GBM_5_AutoML_10_20230223_153200,0.9998973506833306,0.0103185865921378,0.9999075564978248,0.0029617869182058,0.0508509256287135,0.0025858166372969
GBM_grid_1_AutoML_10_20230223_153200_model_1,0.99986965773408,0.0118658350878982,0.9998807622605592,0.0041994989077078,0.0565713122265182,0.0032003133670302
StackedEnsemble_BestOfFamily_1_AutoML_10_20230223_153200,0.999849464345475,0.0089679960023772,0.9997732448768946,0.0025041469529343,0.0471852261496414,0.0022264455667928
DRF_1_AutoML_10_20230223_153200,0.9998207904203388,0.0190316870169621,0.9997660400487418,0.0037418589424363,0.0614204152747673,0.0037724674125248
XRT_1_AutoML_10_20230223_153200,0.9996945192043444,0.0743161054187368,0.9996839646525514,0.005075897859025,0.1071228642466675,0.0114753080444099
DeepLearning_1_AutoML_10_20230223_153200,0.9984843481128306,0.0437474064923576,0.9983401777466764,0.0119506553433928,0.098352862705474,0.0096732856023618
GLM_1_AutoML_10_20230223_153200,0.9928163675434122,0.099390290155428,0.9906761506330496,0.0334590323133947,0.1622854603030844,0.026336570625784
